strain	virus	accession	date	region	country	division	location	host	source	locus	authors	url	title	journal	puburl
UNKNOWN_GQ233040	rabies	GQ233040	2001-XX-XX	south_asia	india	india	india	dog	genbank	genome	?	?	?	?	?
UNKNOWN_HC301528	rabies	HC301528	?	?	na	?	?	unknown	genbank	genome	?	?	?	?	?
UNKNOWN_HH932769	rabies	HH932769	?	?	na	?	?	unknown	genbank	genome	?	?	?	?	?
UNKNOWN_HH932771	rabies	HH932771	?	?	na	?	?	unknown	genbank	genome	?	?	?	?	?
UNKNOWN_HH932773	rabies	HH932773	?	?	na	?	?	unknown	genbank	genome	?	?	?	?	?
UNKNOWN_HH932775	rabies	HH932775	?	?	na	?	?	unknown	genbank	genome	?	?	?	?	?
UNKNOWN_HH932777	rabies	HH932777	?	?	na	?	?	unknown	genbank	genome	?	?	?	?	?
UNKNOWN_HH932779	rabies	HH932779	?	?	na	?	?	unknown	genbank	genome	?	?	?	?	?
UNKNOWN_HI591986	rabies	HI591986	?	?	na	?	?	unknown	genbank	genome	?	?	?	?	?
UNKNOWN_HI591988	rabies	HI591988	?	?	na	?	?	unknown	genbank	genome	?	?	?	?	?
UNKNOWN_HI591990	rabies	HI591990	?	?	na	?	?	unknown	genbank	genome	?	?	?	?	?
UNKNOWN_HI591992	rabies	HI591992	?	?	na	?	?	unknown	genbank	genome	?	?	?	?	?
UNKNOWN_HI591994	rabies	HI591994	?	?	na	?	?	unknown	genbank	genome	?	?	?	?	?
UNKNOWN_HI591996	rabies	HI591996	?	?	na	?	?	unknown	genbank	genome	?	?	?	?	?
UNKNOWN_HV966120	rabies	HV966120	?	?	na	?	?	unknown	genbank	genome	?	?	?	?	?
UNKNOWN_HV966121	rabies	HV966121	?	?	na	?	?	unknown	genbank	genome	?	?	?	?	?
UNKNOWN_HV966122	rabies	HV966122	?	?	na	?	?	unknown	genbank	genome	?	?	?	?	?
UNKNOWN_HV966123	rabies	HV966123	?	?	na	?	?	unknown	genbank	genome	?	?	?	?	?
UNKNOWN_HV966124	rabies	HV966124	?	?	na	?	?	unknown	genbank	genome	?	?	?	?	?
UNKNOWN_HV966125	rabies	HV966125	?	?	na	?	?	unknown	genbank	genome	?	?	?	?	?
UNKNOWN_HW469293	rabies	HW469293	?	?	na	?	?	unknown	genbank	genome	?	?	?	?	?
UNKNOWN_HW914395	rabies	HW914395	?	?	na	?	?	unknown	genbank	genome	?	?	?	?	?
UNKNOWN_J02293	rabies	J02293	?	?	na	?	?	unknown	genbank	genome	?	?	?	?	?
UNKNOWN_JB615623	rabies	JB615623	?	?	na	?	?	unknown	genbank	genome	?	?	?	?	?
UNKNOWN_JB776465	rabies	JB776465	?	?	na	?	?	unknown	genbank	genome	?	?	?	?	?
UNKNOWN_JC040238	rabies	JC040238	?	?	na	?	?	unknown	genbank	genome	?	?	?	?	?
UNKNOWN_JC241896	rabies	JC241896	?	?	na	?	?	unknown	genbank	genome	?	?	?	?	?
UNKNOWN_JD593215	rabies	JD593215	?	?	na	?	?	unknown	genbank	genome	?	?	?	?	?
UNKNOWN_JD593216	rabies	JD593216	?	?	na	?	?	unknown	genbank	genome	?	?	?	?	?
UNKNOWN_JD593217	rabies	JD593217	?	?	na	?	?	unknown	genbank	genome	?	?	?	?	?
UNKNOWN_JD593218	rabies	JD593218	?	?	na	?	?	unknown	genbank	genome	?	?	?	?	?
UNKNOWN_JD593219	rabies	JD593219	?	?	na	?	?	unknown	genbank	genome	?	?	?	?	?
UNKNOWN_KM054530	rabies	KM054530	2014-04-25	south_asia	india	india	india	dog	genbank	genome	?	?	?	?	?
UNKNOWN_KP202393	rabies	KP202393	1988-XX-XX	north_america	mexico	mexico	mexico	bat	genbank	genome	?	?	?	?	?
UNKNOWN_L20671	rabies	L20671	?	?	na	?	?	unknown	genbank	genome	?	?	?	?	?
UNKNOWN_L20672	rabies	L20672	?	?	na	?	?	fox	genbank	genome	?	?	?	?	?
UNKNOWN_L40426	rabies	L40426	?	?	na	?	?	unknown	genbank	genome	?	?	?	?	?
UNKNOWN_LP904808	rabies	LP904808	?	?	na	?	?	unknown	genbank	genome	?	?	?	?	?
UNKNOWN_LP963776	rabies	LP963776	?	?	na	?	?	unknown	genbank	genome	?	?	?	?	?
UNKNOWN_LQ276135	rabies	LQ276135	?	?	na	?	?	unknown	genbank	genome	?	?	?	?	?
UNKNOWN_LQ774355	rabies	LQ774355	?	?	na	?	?	unknown	genbank	genome	?	?	?	?	?
UNKNOWN_LQ774357	rabies	LQ774357	?	?	na	?	?	unknown	genbank	genome	?	?	?	?	?
UNKNOWN_LQ774359	rabies	LQ774359	?	?	na	?	?	unknown	genbank	genome	?	?	?	?	?
UNKNOWN_LQ774361	rabies	LQ774361	?	?	na	?	?	unknown	genbank	genome	?	?	?	?	?
UNKNOWN_LQ774363	rabies	LQ774363	?	?	na	?	?	unknown	genbank	genome	?	?	?	?	?
UNKNOWN_LQ774365	rabies	LQ774365	?	?	na	?	?	unknown	genbank	genome	?	?	?	?	?
UNKNOWN_M12771	rabies	M12771	?	?	na	?	?	unknown	genbank	genome	?	?	?	?	?
UNKNOWN_M13215	rabies	M13215	?	?	na	?	?	unknown	genbank	genome	?	?	?	?	?
UNKNOWN_M22013	rabies	M22013	?	?	na	?	?	unknown	genbank	genome	?	?	?	?	?
UNKNOWN_M31046	rabies	M31046	?	?	na	?	?	unknown	genbank	genome	?	?	?	?	?
UNKNOWN_M32751	rabies	M32751	?	?	na	?	?	unknown	genbank	genome	?	?	?	?	?
UNKNOWN_M61047	rabies	M61047	?	?	na	?	?	unknown	genbank	genome	?	?	?	?	?
UNKNOWN_MA156790	rabies	MA156790	?	?	na	?	?	unknown	genbank	genome	?	?	?	?	?
UNKNOWN_MA379286	rabies	MA379286	?	?	na	?	?	unknown	genbank	genome	?	?	?	?	?
UNKNOWN_NC_001542	rabies	NC_001542	?	?	na	?	?	unknown	genbank	genome	?	?	?	?	?
UNKNOWN_U11756	rabies	U11756	?	?	na	?	?	fox	genbank	genome	?	?	?	?	?
UNKNOWN_U43025	rabies	U43025	?	?	na	?	?	unknown	genbank	genome	?	?	?	?	?
UNKNOWN_X03673	rabies	X03673	?	?	na	?	?	unknown	genbank	genome	?	?	?	?	?
UPV128	rabies	JF747613	2008-XX-XX	africa	south_africa	south_africa	south_africa	dog	genbank	genome	?	?	?	?	?
UPV130	rabies	JF747614	2008-XX-XX	africa	south_africa	south_africa	south_africa	dog	genbank	genome	?	?	?	?	?
UPV150	rabies	JF747615	2007-XX-XX	africa	south_africa	south_africa	south_africa	dog	genbank	genome	?	?	?	?	?
UPV153	rabies	JF747616	2007-XX-XX	africa	south_africa	south_africa	south_africa	dog	genbank	genome	?	?	?	?	?
UPV167	rabies	JF747617	2007-XX-XX	africa	south_africa	south_africa	south_africa	dog	genbank	genome	?	?	?	?	?
US07_010	rabies	JQ686000	2010-XX-XX	north_america	usa	usa	usa	bat	genbank	genome	?	?	?	?	?
USA1_DG	rabies	AF325476	?	?	na	?	?	unknown	genbank	genome	?	?	?	?	?
USA2_SP	rabies	AF325475	?	?	na	?	?	unknown	genbank	genome	?	?	?	?	?
USA3_SK	rabies	AF325473	?	?	na	?	?	unknown	genbank	genome	?	?	?	?	?
USA4_SK	rabies	AF325474	?	?	na	?	?	unknown	genbank	genome	?	?	?	?	?
USA7_BT	rabies	AF298141	?	?	na	?	?	unknown	genbank	genome	?	?	?	?	?
USA8_BT	rabies	AF325494	?	?	na	?	?	unknown	genbank	genome	?	?	?	?	?
USA9_BT	rabies	AF325495	?	?	na	?	?	unknown	genbank	genome	?	?	?	?	?
USTXCY2204	rabies	FJ228529	2004-XX-XX	north_america	usa	usa	usa	coyote	genbank	genome	?	?	?	?	?
USTxdglub94	rabies	FJ228537	1994-XX-XX	north_america	usa	usa	usa	fox	genbank	genome	?	?	?	?	?
V001DG	rabies	AF369323	?	?	na	?	?	dog	genbank	genome	?	?	?	?	?
V013	rabies	AF346890	?	?	na	?	?	bat	genbank	genome	?	?	?	?	?
V013IB	rabies	AF369360	?	?	na	?	?	bat	genbank	genome	?	?	?	?	?
V0208630	rabies	KM366230	2011-XX-XX	southeast_asia	cambodia	cambodia	cambodia	dog	genbank	genome	?	?	?	?	?
V027DG	rabies	AF369322	?	?	na	?	?	dog	genbank	genome	?	?	?	?	?
V028NEP	rabies	AY854597	1989-XX-XX	south_asia	nepal	nepal	nepal	dog	genbank	genome	?	?	?	?	?
V029SRL	rabies	AY854596	1986-XX-XX	south_asia	sri_lanka	sri_lanka	sri_lanka	dog	genbank	genome	?	?	?	?	?
V034RFX	rabies	AF369272	?	?	na	?	?	fox	genbank	genome	?	?	?	?	?
V037MG	rabies	AF369300	?	?	na	?	?	mongoose	genbank	genome	?	?	?	?	?
V039GT	rabies	AF369304	?	?	na	?	?	mongoose	genbank	genome	?	?	?	?	?
V0408641	rabies	KM366322	2011-XX-XX	southeast_asia	cambodia	cambodia	cambodia	dog	genbank	genome	?	?	?	?	?
V040CD	rabies	AF369275	?	?	na	?	?	dog	genbank	genome	?	?	?	?	?
V0411671	rabies	KM366220	2011-XX-XX	southeast_asia	cambodia	cambodia	cambodia	dog	genbank	genome	?	?	?	?	?
V046MG	rabies	AF369298	?	?	na	?	?	mongoose	genbank	genome	?	?	?	?	?
V050MG	rabies	AF369301	?	?	na	?	?	mongoose	genbank	genome	?	?	?	?	?
V0520617	rabies	KM366229	2011-XX-XX	southeast_asia	cambodia	cambodia	cambodia	dog	genbank	genome	?	?	?	?	?
V055	rabies	AF369305	?	?	na	?	?	mongoose	genbank	genome	?	?	?	?	?
V0627625	rabies	KM366222	2011-XX-XX	southeast_asia	cambodia	cambodia	cambodia	dog	genbank	genome	?	?	?	?	?
V0726646	rabies	KM366284	2011-XX-XX	southeast_asia	cambodia	cambodia	cambodia	dog	genbank	genome	?	?	?	?	?
V077SHB	rabies	AF369346	?	?	na	?	?	bat	genbank	genome	?	?	?	?	?
V0808656	rabies	KM366221	2011-XX-XX	southeast_asia	cambodia	cambodia	cambodia	dog	genbank	genome	?	?	?	?	?
V089LBB	rabies	AF369343	?	?	na	?	?	bat	genbank	genome	?	?	?	?	?
V0926624	rabies	KM366255	2011-XX-XX	southeast_asia	cambodia	cambodia	cambodia	dog	genbank	genome	?	?	?	?	?
V1	rabies	DQ640250	2015-XX-XX	south_america	brazil	brazil	brazil	cattle	genbank	genome	?	?	?	?	?
V1001	rabies	AY962093	?	south_america	brazil	brazil	brazil	fox	genbank	genome	?	?	?	?	?
V1002	rabies	AY962094	?	south_america	brazil	brazil	brazil	fox	genbank	genome	?	?	?	?	?
V1007	rabies	AY962095	?	south_america	brazil	brazil	brazil	bat	genbank	genome	?	?	?	?	?
V1009	rabies	AY962096	?	south_america	brazil	brazil	brazil	bat	genbank	genome	?	?	?	?	?
V1016	rabies	JN897351	2007-XX-XX	south_america	brazil	brazil	brazil	bat	genbank	genome	?	?	?	?	?
V1018638	rabies	KM366225	2011-XX-XX	southeast_asia	cambodia	cambodia	cambodia	dog	genbank	genome	?	?	?	?	?
V102MYO	rabies	AF369354	?	?	na	?	?	bat	genbank	genome	?	?	?	?	?
V1039	rabies	DQ837167	2000-XX-XX	north_america	cuba	cuba	cuba	cat	genbank	genome	?	?	?	?	?
V10393	rabies	EU851123	1993-XX-XX	europe	spain	spain	spain	dog	genbank	genome	?	?	?	?	?
V103HB	rabies	AF369347	?	?	na	?	?	bat	genbank	genome	?	?	?	?	?
V10423	rabies	JN897339	2006-XX-XX	south_america	brazil	brazil	brazil	bat	genbank	genome	?	?	?	?	?
V1044	rabies	DQ837168	2000-XX-XX	north_america	cuba	cuba	cuba	dog	genbank	genome	?	?	?	?	?
V1048	rabies	DQ837169	2000-XX-XX	north_america	cuba	cuba	cuba	dog	genbank	genome	?	?	?	?	?
V10491	rabies	GQ918283	?	africa	south_africa	south_africa	south_africa	unknown	genbank	genome	?	?	?	?	?
V10497	rabies	EU851124	1997-XX-XX	europe	spain	spain	spain	horse	genbank	genome	?	?	?	?	?
V1050	rabies	DQ837170	2002-XX-XX	north_america	cuba	cuba	cuba	cat	genbank	genome	?	?	?	?	?
V1054	rabies	DQ837171	2000-XX-XX	north_america	cuba	cuba	cuba	cattle	genbank	genome	?	?	?	?	?
V1056	rabies	DQ837172	2000-XX-XX	north_america	cuba	cuba	cuba	dog	genbank	genome	?	?	?	?	?
V1060	rabies	DQ837173	2009-XX-XX	north_america	usa	usa	usa	fox	genbank	genome	?	?	?	?	?
V1062	rabies	DQ837174	2000-XX-XX	north_america	cuba	cuba	cuba	bat	genbank	genome	?	?	?	?	?
V1063	rabies	DQ837175	2000-XX-XX	north_america	cuba	cuba	cuba	dog	genbank	genome	?	?	?	?	?
V1064	rabies	KR337544	2009-XX-XX	europe	lithuania	lithuania	lithuania	raccoon	genbank	genome	?	?	?	?	?
V1068	rabies	JN897346	2007-XX-XX	south_america	brazil	brazil	brazil	bat	genbank	genome	?	?	?	?	?
V1069	rabies	DQ837176	2000-XX-XX	north_america	cuba	cuba	cuba	goat	genbank	genome	?	?	?	?	?
V10693	rabies	GQ918284	?	africa	south_africa	south_africa	south_africa	unknown	genbank	genome	?	?	?	?	?
V1070	rabies	DQ837177	2001-XX-XX	north_america	cuba	cuba	cuba	swine	genbank	genome	?	?	?	?	?
V1079	rabies	DQ837178	2001-XX-XX	north_america	cuba	cuba	cuba	mongoose	genbank	genome	?	?	?	?	?
V10800	rabies	GQ918285	?	africa	south_africa	south_africa	south_africa	unknown	genbank	genome	?	?	?	?	?
V1088	rabies	AB010554	?	north_america	usa	usa	usa	dog	genbank	genome	?	?	?	?	?
V1095	rabies	DQ837179	2002-XX-XX	north_america	cuba	cuba	cuba	dog	genbank	genome	?	?	?	?	?
V10994	rabies	GQ918286	?	africa	south_africa	south_africa	south_africa	unknown	genbank	genome	?	?	?	?	?
V1108	rabies	DQ837180	2002-XX-XX	north_america	cuba	cuba	cuba	dog	genbank	genome	?	?	?	?	?
V1114631	rabies	KM366286	2011-XX-XX	southeast_asia	cambodia	cambodia	cambodia	dog	genbank	genome	?	?	?	?	?
V1115	rabies	DQ837181	2002-XX-XX	north_america	cuba	cuba	cuba	dog	genbank	genome	?	?	?	?	?
V1117	rabies	DQ837182	2002-XX-XX	north_america	cuba	cuba	cuba	sheep	genbank	genome	?	?	?	?	?
V1121	rabies	DQ837183	2002-XX-XX	north_america	cuba	cuba	cuba	mongoose	genbank	genome	?	?	?	?	?
V1129	rabies	DQ837184	2002-XX-XX	north_america	cuba	cuba	cuba	cat	genbank	genome	?	?	?	?	?
V11395	rabies	GQ918288	?	africa	south_africa	south_africa	south_africa	unknown	genbank	genome	?	?	?	?	?
V113DG	rabies	AF369320	?	?	na	?	?	dog	genbank	genome	?	?	?	?	?
V1143THA	rabies	DQ275537	2000-XX-XX	southeast_asia	thailand	thailand	thailand	dog	genbank	genome	?	?	?	?	?
V1144THA	rabies	DQ275538	2000-XX-XX	southeast_asia	thailand	thailand	thailand	dog	genbank	genome	?	?	?	?	?
V1145THA	rabies	DQ275539	2000-XX-XX	southeast_asia	thailand	thailand	thailand	dog	genbank	genome	?	?	?	?	?
V1147THA	rabies	DQ275540	2001-XX-XX	southeast_asia	thailand	thailand	thailand	dog	genbank	genome	?	?	?	?	?
V1148THA	rabies	DQ275541	2001-XX-XX	southeast_asia	thailand	thailand	thailand	dog	genbank	genome	?	?	?	?	?
V11492	rabies	GQ918289	?	africa	south_africa	south_africa	south_africa	unknown	genbank	genome	?	?	?	?	?
V1149THA	rabies	DQ275542	2001-XX-XX	southeast_asia	thailand	thailand	thailand	dog	genbank	genome	?	?	?	?	?
V1150THA	rabies	DQ275543	2001-XX-XX	southeast_asia	thailand	thailand	thailand	dog	genbank	genome	?	?	?	?	?
V1151THA	rabies	DQ275544	2002-XX-XX	southeast_asia	thailand	thailand	thailand	dog	genbank	genome	?	?	?	?	?
V1152THA	rabies	DQ275545	2002-XX-XX	southeast_asia	thailand	thailand	thailand	dog	genbank	genome	?	?	?	?	?
V11593	rabies	GQ918290	?	africa	south_africa	south_africa	south_africa	unknown	genbank	genome	?	?	?	?	?
V11768	rabies	KR337524	2007-XX-XX	europe	lithuania	lithuania	lithuania	dog	genbank	genome	?	?	?	?	?
V1186	rabies	GQ918287	?	africa	south_africa	south_africa	south_africa	unknown	genbank	genome	?	?	?	?	?
V118DG	rabies	AF369321	?	?	na	?	?	dog	genbank	genome	?	?	?	?	?
V11937	rabies	JQ005069	2006-XX-XX	europe	latvia	latvia	latvia	fox	genbank	genome	?	?	?	?	?
V119NEP	rabies	DQ521214	1989-XX-XX	south_asia	nepal	nepal	nepal	dog	genbank	genome	?	?	?	?	?
V121DG	rabies	AF369317	?	?	na	?	?	dog	genbank	genome	?	?	?	?	?
V121NEP	rabies	AY854598	1989-XX-XX	south_asia	nepal	nepal	nepal	dog	genbank	genome	?	?	?	?	?
V12200	rabies	GQ918291	?	africa	south_africa	south_africa	south_africa	unknown	genbank	genome	?	?	?	?	?
V1223621	rabies	KM366263	2011-XX-XX	southeast_asia	cambodia	cambodia	cambodia	dog	genbank	genome	?	?	?	?	?
V1231	rabies	JN897348	2006-XX-XX	south_america	brazil	brazil	brazil	bat	genbank	genome	?	?	?	?	?
V1235	rabies	AY138571	?	africa	madagascar	madagascar	madagascar	human	genbank	genome	?	?	?	?	?
V12391	rabies	GQ918292	?	africa	south_africa	south_africa	south_africa	unknown	genbank	genome	?	?	?	?	?
V123DG	rabies	AF369318	?	?	na	?	?	dog	genbank	genome	?	?	?	?	?
V12459	rabies	JQ005061	2007-XX-XX	europe	latvia	latvia	latvia	fox	genbank	genome	?	?	?	?	?
V12461	rabies	KY563718	1994-XX-XX	africa	zimbabwe	?	?	civet	genbank	genome	?	?	?	?	?
V124DG	rabies	AF369319	?	?	na	?	?	dog	genbank	genome	?	?	?	?	?
V12507	rabies	GQ918293	?	africa	south_africa	south_africa	south_africa	unknown	genbank	genome	?	?	?	?	?
V12537	rabies	KR337523	2007-XX-XX	europe	lithuania	lithuania	lithuania	cat	genbank	genome	?	?	?	?	?
V12592	rabies	GQ918294	?	africa	south_africa	south_africa	south_africa	unknown	genbank	genome	?	?	?	?	?
V12605	rabies	GQ918295	?	africa	south_africa	south_africa	south_africa	unknown	genbank	genome	?	?	?	?	?
V1261	rabies	AF394874	?	north_america	usa	usa	usa	bat	genbank	genome	?	?	?	?	?
V1265	rabies	AF394868	?	north_america	usa	usa	usa	bat	genbank	genome	?	?	?	?	?
V1266	rabies	DQ640245	?	south_america	brazil	brazil	brazil	cattle	genbank	genome	?	?	?	?	?
V12692	rabies	GQ918296	?	africa	south_africa	south_africa	south_africa	unknown	genbank	genome	?	?	?	?	?
V128	rabies	KP723591	2014-XX-XX	north_america	usa	georgia	georgia	unknown	genbank	genome	?	?	?	?	?
V128683	rabies	KC297654	2009-XX-XX	europe	france	france	france	bat	genbank	genome	?	?	?	?	?
V12929	rabies	LT909532	?	?	na	?	?	unknown	genbank	genome	?	?	?	?	?
V1294	rabies	AY138549	?	south_asia	sri_lanka	sri_lanka	sri_lanka	dog	genbank	genome	?	?	?	?	?
V12951	rabies	LT909537	?	?	na	?	?	unknown	genbank	genome	?	?	?	?	?
V129668	rabies	KC297655	2012-XX-XX	europe	france	france	france	bat	genbank	genome	?	?	?	?	?
V12989	rabies	LT909538	?	?	na	?	?	unknown	genbank	genome	?	?	?	?	?
V12999	rabies	GQ918297	?	africa	south_africa	south_africa	south_africa	unknown	genbank	genome	?	?	?	?	?
V13	rabies	KU312288	1996-XX-XX	south_america	paraguay	paraguay	paraguay	dog	genbank	genome	?	?	?	?	?
V13020	rabies	LT909550	?	?	na	?	?	unknown	genbank	genome	?	?	?	?	?
V13043	rabies	LT909540	?	?	na	?	?	unknown	genbank	genome	?	?	?	?	?
V13044	rabies	KP723630	1990-XX-XX	west_asia	na	saudi_arabia	saudi_arabia	unknown	genbank	genome	?	?	?	?	?
V13086	rabies	LT909541	?	?	na	?	?	unknown	genbank	genome	?	?	?	?	?
V13088	rabies	KP723626	1979-XX-XX	west_asia	pakistan	pakistan	pakistan	dog	genbank	genome	?	?	?	?	?
V13092	rabies	KP723588	1994-XX-XX	west_asia	united_arab_emirates	united_arab_emirates	united_arab_emirates	camel	genbank	genome	?	?	?	?	?
V13095	rabies	GQ918299	?	africa	south_africa	south_africa	south_africa	unknown	genbank	genome	?	?	?	?	?
V13102	rabies	LT909527	?	?	na	?	?	unknown	genbank	genome	?	?	?	?	?
V13122	rabies	LT909529	?	?	na	?	?	unknown	genbank	genome	?	?	?	?	?
V13123	rabies	LT909535	?	?	na	?	?	unknown	genbank	genome	?	?	?	?	?
V13125	rabies	LT909542	?	?	na	?	?	unknown	genbank	genome	?	?	?	?	?
V13135	rabies	LT909546	?	?	na	?	?	unknown	genbank	genome	?	?	?	?	?
V13138	rabies	LT909548	?	?	na	?	?	unknown	genbank	genome	?	?	?	?	?
V13145	rabies	KP723614	1991-XX-XX	west_asia	oman	oman	oman	unknown	genbank	genome	?	?	?	?	?
V13148	rabies	KP723615	1991-XX-XX	west_asia	oman	oman	oman	unknown	genbank	genome	?	?	?	?	?
V13157	rabies	KP723592	1991-XX-XX	west_asia	iran	iran	iran	cattle	genbank	genome	?	?	?	?	?
V13158	rabies	KP723593	1991-XX-XX	west_asia	iran	iran	iran	wolf	genbank	genome	?	?	?	?	?
V13159	rabies	KP723594	1991-XX-XX	west_asia	iran	iran	iran	wolf	genbank	genome	?	?	?	?	?
V13160	rabies	KP723595	1991-XX-XX	west_asia	iran	iran	iran	sheep	genbank	genome	?	?	?	?	?
V13161	rabies	KP723596	1991-XX-XX	west_asia	iran	iran	iran	sheep	genbank	genome	?	?	?	?	?
V13162	rabies	LT909526	?	?	na	?	?	unknown	genbank	genome	?	?	?	?	?
V13164	rabies	KP723597	1991-XX-XX	west_asia	iran	iran	iran	hyena	genbank	genome	?	?	?	?	?
V13177	rabies	LT909531	?	?	na	?	?	unknown	genbank	genome	?	?	?	?	?
V13182	rabies	LT909539	?	?	na	?	?	unknown	genbank	genome	?	?	?	?	?
V132	rabies	AY039229	?	north_america	usa	usa	usa	bat	genbank	genome	?	?	?	?	?
V13212	rabies	LT909544	?	?	na	?	?	unknown	genbank	genome	?	?	?	?	?
V13249	rabies	LT909543	?	?	na	?	?	unknown	genbank	genome	?	?	?	?	?
V13250	rabies	HQ116829	1973-XX-XX	south_america	chile	chile	chile	human	genbank	genome	?	?	?	?	?
V13251	rabies	LT909530	?	?	na	?	?	unknown	genbank	genome	?	?	?	?	?
V13284	rabies	LT909547	?	?	na	?	?	unknown	genbank	genome	?	?	?	?	?
V13292	rabies	GQ918300	?	africa	south_africa	south_africa	south_africa	unknown	genbank	genome	?	?	?	?	?
V13382	rabies	KR337525	2007-XX-XX	europe	lithuania	lithuania	lithuania	fox	genbank	genome	?	?	?	?	?
V13383	rabies	GQ918301	?	africa	south_africa	south_africa	south_africa	unknown	genbank	genome	?	?	?	?	?
V13392	rabies	GQ918302	?	africa	south_africa	south_africa	south_africa	unknown	genbank	genome	?	?	?	?	?
V13448	rabies	KR337533	2009-XX-XX	europe	lithuania	lithuania	lithuania	raccoon	genbank	genome	?	?	?	?	?
V1345	rabies	AY138565	?	west_asia	pakistan	pakistan	pakistan	dog	genbank	genome	?	?	?	?	?
V13465	rabies	LT909534	?	?	na	?	?	unknown	genbank	genome	?	?	?	?	?
V13471	rabies	LT909536	?	?	na	?	?	unknown	genbank	genome	?	?	?	?	?
V13473	rabies	LT909551	?	?	na	?	?	unknown	genbank	genome	?	?	?	?	?
V1348	rabies	AY138579	?	oceania	australia	australia	australia	human	genbank	genome	?	?	?	?	?
V13493	rabies	GQ918303	?	africa	south_africa	south_africa	south_africa	unknown	genbank	genome	?	?	?	?	?
V13495	rabies	GQ918304	?	africa	south_africa	south_africa	south_africa	unknown	genbank	genome	?	?	?	?	?
V13500	rabies	GQ918305	?	africa	south_africa	south_africa	south_africa	unknown	genbank	genome	?	?	?	?	?
V13599	rabies	GQ918306	?	africa	south_africa	south_africa	south_africa	unknown	genbank	genome	?	?	?	?	?
V136	rabies	AY039226	?	north_america	usa	usa	usa	bat	genbank	genome	?	?	?	?	?
V1360	rabies	AY138566	?	europe	united_kingdom	united_kingdom	united_kingdom	human	genbank	genome	?	?	?	?	?
V13658	rabies	KR337534	2009-XX-XX	europe	lithuania	lithuania	lithuania	raccoon	genbank	genome	?	?	?	?	?
V1368	rabies	JQ005106	2010-XX-XX	europe	latvia	latvia	latvia	dog	genbank	genome	?	?	?	?	?
V13696	rabies	KR337535	2009-XX-XX	europe	lithuania	lithuania	lithuania	raccoon	genbank	genome	?	?	?	?	?
V1371PHIL	rabies	DQ275546	2004-XX-XX	southeast_asia	philippines	philippines	philippines	cat	genbank	genome	?	?	?	?	?
V1372PHIL	rabies	DQ275550	2004-XX-XX	southeast_asia	philippines	philippines	philippines	cat	genbank	genome	?	?	?	?	?
V1373PHIL	rabies	DQ275549	2004-XX-XX	southeast_asia	philippines	philippines	philippines	dog	genbank	genome	?	?	?	?	?
V1374PHIL	rabies	DQ275547	2004-XX-XX	southeast_asia	philippines	philippines	philippines	dog	genbank	genome	?	?	?	?	?
V1375PHIL	rabies	DQ275548	2004-XX-XX	southeast_asia	philippines	philippines	philippines	dog	genbank	genome	?	?	?	?	?
V13798	rabies	GQ918307	?	africa	south_africa	south_africa	south_africa	unknown	genbank	genome	?	?	?	?	?
V1393	rabies	GQ918298	?	africa	south_africa	south_africa	south_africa	unknown	genbank	genome	?	?	?	?	?
V14	rabies	KU312289	1996-XX-XX	south_america	paraguay	paraguay	paraguay	dog	genbank	genome	?	?	?	?	?
V14092	rabies	GQ918308	?	africa	south_africa	south_africa	south_africa	unknown	genbank	genome	?	?	?	?	?
V141	rabies	DQ640249	?	south_america	brazil	brazil	brazil	cattle	genbank	genome	?	?	?	?	?
V14144	rabies	KP723616	1991-XX-XX	west_asia	oman	oman	oman	unknown	genbank	genome	?	?	?	?	?
V1420	rabies	AY352499	?	?	na	?	?	unknown	genbank	genome	?	?	?	?	?
V1421	rabies	AY352500	?	?	na	?	?	unknown	genbank	genome	?	?	?	?	?
V1422	rabies	AY353900	?	?	na	?	?	unknown	genbank	genome	?	?	?	?	?
V14238	rabies	KR337536	2009-XX-XX	europe	lithuania	lithuania	lithuania	cattle	genbank	genome	?	?	?	?	?
V1428	rabies	AY039224	?	?	na	?	?	bat	genbank	genome	?	?	?	?	?
V1435	rabies	AF394881	?	north_america	usa	usa	usa	bat	genbank	genome	?	?	?	?	?
V14492	rabies	GQ918311	?	africa	south_africa	south_africa	south_africa	unknown	genbank	genome	?	?	?	?	?
V14541	rabies	KR337537	2009-XX-XX	europe	lithuania	lithuania	lithuania	raccoon	genbank	genome	?	?	?	?	?
V14591	rabies	GQ918312	?	africa	south_africa	south_africa	south_africa	unknown	genbank	genome	?	?	?	?	?
V14702	rabies	EU851125	2002-XX-XX	europe	spain	spain	spain	dog	genbank	genome	?	?	?	?	?
V1471	rabies	JN897324	2000-XX-XX	south_america	brazil	brazil	brazil	cattle	genbank	genome	?	?	?	?	?
V14783	rabies	GQ918313	?	africa	south_africa	south_africa	south_africa	unknown	genbank	genome	?	?	?	?	?
V14807	rabies	GQ918314	?	africa	south_africa	south_africa	south_africa	unknown	genbank	genome	?	?	?	?	?
V1488	rabies	GQ918309	?	africa	south_africa	south_africa	south_africa	unknown	genbank	genome	?	?	?	?	?
V14884	rabies	GQ918315	?	africa	south_africa	south_africa	south_africa	unknown	genbank	genome	?	?	?	?	?
V1495	rabies	GQ918310	?	africa	south_africa	south_africa	south_africa	unknown	genbank	genome	?	?	?	?	?
V1503	rabies	GQ918316	?	africa	south_africa	south_africa	south_africa	unknown	genbank	genome	?	?	?	?	?
